Order ID,Trade date,Instrument code,Market code,Quantity,Price,Transaction type,Exchange rate,Transaction fee,Currency,Amount,Transaction method
3675ef08-244e-4899-9d42-231060a35cb4,2021-11-22 00:57:52.343434 (UTC),EMF,NZX,2.01694231,1.48,BUY,,0.01493,nzd,2.985074619,BUY
8aaf72f6-4f85-4449-bb50-bb2788a15b3c,2021-11-22 00:57:52.343434 (UTC),APA,NZX,1.71646941,2.319,BUY,,0.0199,nzd,3.98009949,BUY
6e340b32-8798-495f-901b-fbafc6bd33f7,2021-11-22 00:57:52.343434 (UTC),USF,NZX,0.56494234,12.329,BUY,,0.03483,nzd,6.96517411,BUY
34b205fe-34cb-439f-a4a7-677ebcc0ce95,2021-11-24 20:59:56 (UTC),PEB,NZX,14.088495,1.35,SELL,,0.09462,nzd,18.92484403,SELL
13a443c0-c406-41f3-b682-99ae2f7b55d3,2021-11-24 23:00:00 (UTC),23793,FundNZ,7.4233,4.36,SELL,,0,nzd,32.32,SELL
0ba62a0c-bc1a-4b84-abb1-3363549f78b0,2021-11-29 00:33:04.793519 (UTC),OZY,NZX,0.28565307,4.18,BUY,,0.00597,nzd,1.194029833,BUY
00b521d2-9bb9-43da-b0f6-3b59144a9ada,2021-11-29 00:33:04.793519 (UTC),EUF,NZX,2.04212391,1.949,BUY,,0.0199,nzd,3.980099501,BUY
88d0af8d-aa51-42a4-a55f-4855541344ab,2021-11-29 00:33:04.793519 (UTC),FNZ,NZX,0.23740528,3.353,BUY,,0.00398,nzd,0.796019904,BUY
145c9f87-4c6b-4b34-8b43-49db9b883caf,2021-11-29 00:33:04.793519 (UTC),EMF,NZX,2.05583652,1.452,BUY,,0.01493,nzd,2.985074627,BUY
b4f0a266-6487-454c-b58f-bfec872c24fb,2021-11-29 00:33:04.793519 (UTC),APA,NZX,1.74336378,2.283,BUY,,0.0199,nzd,3.98009951,BUY
b50488ab-4f32-4eab-ae89-7f344845c3d2,2021-11-29 00:33:04.793519 (UTC),USF,NZX,0.56193417,12.395,BUY,,0.03483,nzd,6.965174037,BUY
67642a60-1ab4-4314-a91e-cc6693c48f73,2021-12-06 00:17:14.612571 (UTC),OZY,NZX,0.28757944,4.152,BUY,,0.00597,nzd,1.194029835,BUY
7323e25e-27ca-440a-93ed-a87959a29d13,2021-12-06 00:17:14.612571 (UTC),EUF,NZX,2.04107667,1.95,BUY,,0.0199,nzd,3.980099507,BUY
1eb4a03e-5096-487f-afa6-183c87b533b4,2021-12-06 00:17:14.612571 (UTC),FNZ,NZX,0.23523046,3.384,BUY,,0.00398,nzd,0.796019877,BUY
6c0eaf97-28e0-4af9-b27f-f08659a4343b,2021-12-06 00:17:14.612571 (UTC),EMF,NZX,2.04317362,1.461,BUY,,0.01493,nzd,2.985074616,BUY
78ce896c-3ec6-4e4d-aeec-6b179a4cf31b,2021-12-06 00:17:14.612571 (UTC),APA,NZX,1.71926544,2.315,BUY,,0.0199,nzd,3.980099494,BUY
